기관코드,전체기관명,최하위기관명,대표기관코드,기관유형,폐지구분,등록자
7010928,"서울특별시교육청 난나학교","난나학교",7010000,"중학교 기타중학교과정 사립",현존,
7010977,"서울특별시교육청 국악학교","국악학교",7010000,"중학교 중학교(본교) 국립",현존,
7011099,"서울특별시교육청 미래학교","미래학교",7010000,"중학교 기타중학교과정 ",현존,
7011194,"서울특별시교육청 구로다애다문화학교","구로다애다문화학교",7010000,"중학교 기타중학교과정 ",현존,
7021122,"서울특별시교육청 서울특별시동부교육지원청 경희여자중학교","경희여자중학교",7021000,"중학교 중학교(본교) 사립",현존,
7021123,"서울특별시교육청 서울특별시동부교육지원청 경희중학교","경희중학교",7021000,"중학교 중학교(본교) 사립",현존,
7021124,"서울특별시교육청 서울특별시동부교육지원청 대광중학교","대광중학교",7021000,"중학교 중학교(본교) 사립",현존,
7021125,"서울특별시교육청 서울특별시동부교육지원청 동국대학교사범대학부속중학교","동국대학교사범대학부속중학교",7021000,"중학교 중학교(본교) 사립",현존,
7021126,"서울특별시교육청 서울특별시동부교육지원청 동대문중학교","동대문중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021127,"서울특별시교육청 서울특별시동부교육지원청 동원중학교","동원중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021128,"서울특별시교육청 서울특별시동부교육지원청 면목중학교","면목중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021129,"서울특별시교육청 서울특별시동부교육지원청 봉화중학교","봉화중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021130,"서울특별시교육청 서울특별시동부교육지원청 상봉중학교","상봉중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021131,"서울특별시교육청 서울특별시동부교육지원청 성일중학교","성일중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021132,"서울특별시교육청 서울특별시동부교육지원청 송곡여자중학교","송곡여자중학교",7021000,"중학교 중학교(본교) 사립",현존,
7021133,"서울특별시교육청 서울특별시동부교육지원청 숭인중학교","숭인중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021134,"서울특별시교육청 서울특별시동부교육지원청 신현중학교","신현중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021135,"서울특별시교육청 서울특별시동부교육지원청 영란여자중학교","영란여자중학교",7021000,"중학교 중학교(본교) 사립",현존,
7021136,"서울특별시교육청 서울특별시동부교육지원청 용마중학교","용마중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021137,"서울특별시교육청 서울특별시동부교육지원청 원묵중학교","원묵중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021138,"서울특별시교육청 서울특별시동부교육지원청 장안중학교","장안중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021139,"서울특별시교육청 서울특별시동부교육지원청 장평중학교","장평중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021140,"서울특별시교육청 서울특별시동부교육지원청 전농중학교","전농중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021141,"서울특별시교육청 서울특별시동부교육지원청 전동중학교","전동중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021142,"서울특별시교육청 서울특별시동부교육지원청 전일중학교","전일중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021143,"서울특별시교육청 서울특별시동부교육지원청 정화여자중학교","정화여자중학교",7021000,"중학교 중학교(본교) 사립",현존,
7021144,"서울특별시교육청 서울특별시동부교육지원청 중랑중학교","중랑중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021145,"서울특별시교육청 서울특별시동부교육지원청 중화중학교","중화중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021146,"서울특별시교육청 서울특별시동부교육지원청 청량중학교","청량중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021147,"서울특별시교육청 서울특별시동부교육지원청 태릉중학교","태릉중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021148,"서울특별시교육청 서울특별시동부교육지원청 혜원여자중학교","혜원여자중학교",7021000,"중학교 중학교(본교) 사립",현존,
7021149,"서울특별시교육청 서울특별시동부교육지원청 휘경여자중학교","휘경여자중학교",7021000,"중학교 중학교(본교) 사립",현존,
7021150,"서울특별시교육청 서울특별시동부교육지원청 휘경중학교","휘경중학교",7021000,"중학교 중학교(본교) 공립",현존,
7021211,"서울특별시교육청 서울특별시동부교육지원청 송곡중학교","송곡중학교",7021000,"중학교 중학교(본교) 사립",현존,
7031179,"서울특별시교육청 서울특별시서부교육지원청 경성중학교","경성중학교",7031000,"중학교 중학교(본교) 사립",현존,
7031180,"서울특별시교육청 서울특별시서부교육지원청 광성중학교","광성중학교",7031000,"중학교 중학교(본교) 사립",현존,
7031181,"서울특별시교육청 서울특별시서부교육지원청 구산중학교","구산중학교",7031000,"중학교 중학교(본교) 공립",현존,
7031182,"서울특별시교육청 서울특별시서부교육지원청 대성중학교","대성중학교",7031000,"중학교 중학교(본교) 사립",현존,
7031183,"서울특별시교육청 서울특별시서부교육지원청 덕산중학교","덕산중학교",7031000,"중학교 중학교(본교) 공립",현존,
7031184,"서울특별시교육청 서울특별시서부교육지원청 동도중학교","동도중학교",7031000,"중학교 중학교(본교) 사립",현존,
7031185,"서울특별시교육청 서울특별시서부교육지원청 동명여자중학교","동명여자중학교",7031000,"중학교 중학교(본교) 사립",현존,
7031186,"서울특별시교육청 서울특별시서부교육지원청 명지중학교","명지중학교",7031000,"중학교 중학교(본교) 사립",현존,
7031187,"서울특별시교육청 서울특별시서부교육지원청 불광중학교","불광중학교",7031000,"중학교 중학교(본교) 공립",현존,
7031188,"서울특별시교육청 서울특별시서부교육지원청 상신중학교","상신중학교",7031000,"중학교 중학교(본교) 공립",현존,
7031189,"서울특별시교육청 서울특별시서부교육지원청 상암중학교","상암중학교",7031000,"중학교 중학교(본교) 공립",현존,
7031190,"서울특별시교육청 서울특별시서부교육지원청 서연중학교","서연중학교",7031000,"중학교 중학교(본교) 공립",현존,
7031191,"서울특별시교육청 서울특별시서부교육지원청 서울여자중학교","서울여자중학교",7031000,"중학교 중학교(본교) 공립",현존,
7031192,"서울특별시교육청 서울특별시서부교육지원청 선일여자중학교","선일여자중학교",7031000,"중학교 중학교(본교) 사립",현존,
7031193,"서울특별시교육청 서울특별시서부교육지원청 선정중학교","선정중학교",7031000,"중학교 중학교(본교) 사립",현존,
